gene_target,disease,manifestation,role,n_supporting_papers,evidence_tier,n_fulltext_supported,n_fulltext_partial,n_fulltext_not_supported,n_papers_fulltext_read,n_papers_abstract_only,mechanism,study_system,manifestation_in_fulltext_differs,supporting_pmids,paper_access
MAP2K1/2 (MEK1/2),NF1,Plexiform neurofibroma,therapeutic target,34,full text - supported,3,0,0,5,29,"Selumetinib, an oral MEK1/2 inhibitor, produced durable tumor volume shrinkage (partial response in 71% of patients) and reduced pain/disfigurement in NF1 patients with inoperable plexiform neurofibromas, and shrank tumors in a neurofibroma mouse model.",clinical trial,"Plexiform neurofibroma, Pain",28029918;31913576;32108293;32187457;32601904;32657748;32939452;33683166;33751171;34885143;35301838;35467749;35657359;35788692;37328781;37344677;37906356;38975694;39034326;39514826;39762421;40393479;40473450;40565537;40709016;40732327;40900834;40932001;40968507;41100399;42116118;42394972;42527881;42540436,28029918:full_text;31913576:full_text;32108293:abstract_only;32187457:full_text;32601904:abstract_only;32657748:abstract_only;32939452:abstract_only;33683166:abstract_only;33751171:abstract_only;34885143:full_text;35301838:abstract_only;35467749:abstract_only;35657359:abstract_only;35788692:abstract_only;37328781:abstract_only;37344677:abstract_only;37906356:abstract_only;38975694:full_text;39034326:abstract_only;39514826:abstract_only;39762421:abstract_only;40393479:abstract_only;40473450:abstract_only;40565537:abstract_only;40709016:abstract_only;40732327:abstract_only;40900834:abstract_only;40932001:abstract_only;40968507:abstract_only;41100399:abstract_only;42116118:abstract_only;42394972:abstract_only;42527881:abstract_only;42540436:abstract_only
MTOR,Not specified,Meningioma,therapeutic target,11,full text - supported,3,0,0,5,6,Osteoglycin downregulates NF2 and activates mTOR signalling in meningioma cells; rapamycin reduces mTOR activation and colony growth.,cell line,,28923059;30511495;32245394;34408780;34629433;36139608;36181606;36567410;36959063;39577862;40787520,28923059:full_text;30511495:abstract_only;32245394:full_text;34408780:full_text;34629433:abstract_only;36139608:full_text;36181606:full_text;36567410:abstract_only;36959063:abstract_only;39577862:abstract_only;40787520:abstract_only
RAS (pan),NF1,Plexiform neurofibroma,driver,6,full text - supported,3,0,0,3,3,"Neurofibromin is a RAS/MAPK negative regulator; NF1 loss in Hoxb7-lineage Schwann cell precursors drives cutaneous and plexiform neurofibroma formation, with Hippo pathway dysregulation enhancing MAPK/p-ERK activation from NF1 loss.",mouse model,"Plexiform neurofibroma, Cutaneous neurofibroma",12432832;25917340;30348677;33683166;35188187;36139671,12432832:abstract_only;25917340:abstract_only;30348677:full_text;33683166:abstract_only;35188187:full_text;36139671:full_text
AKT1,Not specified,Meningioma,driver,4,full text - supported,3,0,0,3,1,AKT is named a driver of meningioma formation with NF2 and mTOR; the AKT inhibitor AKTVIII produced a cytotoxic response in OGN-overexpressing meningioma cells.,cell line,,28923059;34408780;36139608;36959063,28923059:full_text;34408780:full_text;36139608:full_text;36959063:abstract_only
MTOR,NF2-SWN,Vestibular schwannoma,therapeutic target,4,full text - supported,3,0,0,4,0,Merlin loss deregulates mTORC1/2; combined mTOR kinase inhibitor and dasatinib proposed as therapy for NF2-associated vestibular schwannoma.,cell line;clinical trial;review,"Vestibular schwannoma, Meningioma",32144278;32232723;34224367;38058737,32144278:full_text;32232723:full_text;34224367:full_text;38058737:full_text
CACNA1B,NF1,Pain,driver,3,full text - supported,3,0,0,3,0,"Loss of neurofibromin uncouples CRMP2/neurofibromin binding, freeing CRMP2 to bind syntaxin 1A and Cav2.2, increasing Cav2.2 trafficking/currents and evoked CGRP release; peptide disrupting these interactions reverses pain behaviors.",mouse model,,28767512;29655575;31246731,28767512:full_text;29655575:full_text;31246731:full_text
LZTR1,SWN,Other,driver,3,full text - supported,3,0,0,3,0,"Review: inactivating germline mutations in SMARCB1 and LZTR1 are present in ~85% of SWN families and up to 40% of sporadic cases, requiring additional somatic hits.",human tissue;review,"Non-vestibular schwannoma, Other",34072574;34113392;39258154,34072574:full_text;34113392:full_text;39258154:full_text
NF2,NF2-SWN,Meningioma,driver,14,full text - supported,2,0,0,4,10,NF2/Merlin loss (biallelic mutation) drives meningioma via increased CRL4-DCAF1 and KSR1 activity; Merlin-deficient primary meningioma cells show greater sensitivity to neddylation/MEK inhibitor combination therapy.,cell line;human tissue,,26564072;30145722;30993672;31425178;32441531;32629964;32642722;33753124;34629433;37820090;38928264;39083549;39337558;39577862,26564072:abstract_only;30145722:abstract_only;30993672:abstract_only;31425178:abstract_only;32441531:abstract_only;32629964:full_text;32642722:full_text;33753124:abstract_only;34629433:abstract_only;37820090:abstract_only;38928264:abstract_only;39083549:full_text;39337558:full_text;39577862:abstract_only
VEGFA,NF2-SWN,Vestibular schwannoma,therapeutic target,14,full text - supported,2,0,0,3,11,"Bevacizumab, an anti-VEGF monoclonal antibody, was administered to NF2 patients with vestibular schwannoma, achieving radiologic tumor volume reduction (≥20%) in 41% of tumors, with age-dependent response.",clinical trial,,26022982;31534897;31902875;32232723;32470937;32657748;36139588;37025569;37906356;40140675;40434540;40956079;41053457;41250253,26022982:abstract_only;31534897:abstract_only;31902875:full_text;32232723:full_text;32470937:abstract_only;32657748:abstract_only;36139588:abstract_only;37025569:abstract_only;37906356:abstract_only;40140675:full_text;40434540:abstract_only;40956079:abstract_only;41053457:abstract_only;41250253:abstract_only
PRC2 (EED/SUZ12/EZH2),NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,13,full text - supported,2,1,0,3,10,"Loss-of-function mutations in EED/SUZ12 (PRC2 components) cause loss of H3K27me3 expression, a marker distinguishing MPNST from neurofibroma/ANNUBP; used diagnostically for malignant transformation.",human tissue;mouse model,"Malignant peripheral nerve sheath tumor (MPNST), ANNUBP / atypical neurofibroma",26857854;28551330;30169729;30306639;31262833;34283254;34432163;36598417;37670622;39620202;40063513;42135588;42310314,26857854:abstract_only;28551330:full_text;30169729:abstract_only;30306639:full_text;31262833:abstract_only;34283254:abstract_only;34432163:abstract_only;36598417:full_text;37670622:abstract_only;39620202:abstract_only;40063513:abstract_only;42135588:abstract_only;42310314:abstract_only
